model,language,few_k,proportion,class,accuracy,precision,recall,f1
QWEN-2.5-72B-GGUF,en,3,False,0,0.667,0.909,0.667,0.769
QWEN-2.5-72B-GGUF,en,3,False,1,0.678,0.158,0.678,0.257
QWEN-2.5-72B-GGUF,en,3,False,2,0.319,0.087,0.319,0.137
QWEN-2.5-72B-GGUF,en,3,False,3,0.824,0.079,0.824,0.144
QWEN-2.5-72B-GGUF,en,3,False,4,0.555,0.423,0.555,0.48
QWEN-2.5-72B-GGUF,en,3,False,5,0.676,0.157,0.676,0.255
QWEN-2.5-72B-GGUF,en,3,False,6,0.733,0.182,0.733,0.292
QWEN-2.5-72B-GGUF,en,3,False,overall,0.652,-,-,0.333
QWEN-2.5-7B-1M,en,3,False,0,0.737,0.885,0.737,0.804
QWEN-2.5-7B-1M,en,3,False,1,0.602,0.198,0.602,0.298
QWEN-2.5-7B-1M,en,3,False,2,0.34,0.078,0.34,0.127
QWEN-2.5-7B-1M,en,3,False,3,0.588,0.078,0.588,0.137
QWEN-2.5-7B-1M,en,3,False,4,0.398,0.522,0.398,0.452
QWEN-2.5-7B-1M,en,3,False,5,0.608,0.128,0.608,0.212
QWEN-2.5-7B-1M,en,3,False,6,0.69,0.162,0.69,0.262
QWEN-2.5-7B-1M,en,3,False,overall,0.685,-,-,0.328
QWEN-2.5-14B-GGUF,nl,3,False,0,0.758,0.884,0.758,0.816
QWEN-2.5-14B-GGUF,nl,3,False,1,0.534,0.222,0.534,0.313
QWEN-2.5-14B-GGUF,nl,3,False,2,0.404,0.059,0.404,0.103
QWEN-2.5-14B-GGUF,nl,3,False,3,0.882,0.074,0.882,0.136
QWEN-2.5-14B-GGUF,nl,3,False,4,0.356,0.559,0.356,0.435
QWEN-2.5-14B-GGUF,nl,3,False,5,0.618,0.14,0.618,0.229
QWEN-2.5-14B-GGUF,nl,3,False,6,0.491,0.143,0.491,0.221
QWEN-2.5-14B-GGUF,nl,3,False,overall,0.694,-,-,0.322
QWEN-2.5-72B-GGUF,en,0,False,0,0.604,0.938,0.604,0.735
QWEN-2.5-72B-GGUF,en,0,False,1,0.627,0.246,0.627,0.353
QWEN-2.5-72B-GGUF,en,0,False,2,0.298,0.078,0.298,0.124
QWEN-2.5-72B-GGUF,en,0,False,3,0.765,0.061,0.765,0.113
QWEN-2.5-72B-GGUF,en,0,False,4,0.729,0.389,0.729,0.508
QWEN-2.5-72B-GGUF,en,0,False,5,0.725,0.113,0.725,0.196
QWEN-2.5-72B-GGUF,en,0,False,6,0.681,0.203,0.681,0.312
QWEN-2.5-72B-GGUF,en,0,False,overall,0.622,-,-,0.334
LLAMA-1B-FINETUNED,nl,0,True,0,0.962,0.877,0.962,0.918
LLAMA-1B-FINETUNED,nl,0,True,1,0.161,0.452,0.161,0.238
LLAMA-1B-FINETUNED,nl,0,True,2,0.128,0.545,0.128,0.207
LLAMA-1B-FINETUNED,nl,0,True,3,0.118,0.4,0.118,0.182
LLAMA-1B-FINETUNED,nl,0,True,4,0.438,0.69,0.438,0.536
LLAMA-1B-FINETUNED,nl,0,True,5,0.118,0.571,0.118,0.195
LLAMA-1B-FINETUNED,nl,0,True,6,0.397,0.548,0.397,0.46
LLAMA-1B-FINETUNED,nl,0,True,overall,0.854,-,-,0.391
LLAMA-3.3-70B-GGUF,en,3,True,0,0.66,0.937,0.66,0.774
LLAMA-3.3-70B-GGUF,en,3,True,1,0.695,0.246,0.695,0.364
LLAMA-3.3-70B-GGUF,en,3,True,2,0.532,0.083,0.532,0.144
LLAMA-3.3-70B-GGUF,en,3,True,3,0.941,0.069,0.941,0.129
LLAMA-3.3-70B-GGUF,en,3,True,4,0.736,0.414,0.736,0.53
LLAMA-3.3-70B-GGUF,en,3,True,5,0.637,0.146,0.637,0.238
LLAMA-3.3-70B-GGUF,en,3,True,6,0.483,0.331,0.483,0.393
LLAMA-3.3-70B-GGUF,en,3,True,overall,0.667,-,-,0.367
GEITJE-7B-ULTRA,nl,0,True,0,0.003,0.9,0.003,0.006
GEITJE-7B-ULTRA,nl,0,True,1,0.271,0.276,0.271,0.274
GEITJE-7B-ULTRA,nl,0,True,2,0.021,0.2,0.021,0.038
GEITJE-7B-ULTRA,nl,0,True,3,0.647,0.004,0.647,0.008
GEITJE-7B-ULTRA,nl,0,True,4,0.85,0.214,0.85,0.342
GEITJE-7B-ULTRA,nl,0,True,5,0.196,0.29,0.196,0.234
GEITJE-7B-ULTRA,nl,0,True,6,0.302,0.08,0.302,0.126
GEITJE-7B-ULTRA,nl,0,True,overall,0.127,-,-,0.147
QWEN-2.5-72B-GGUF,nl,3,False,0,0.711,0.916,0.711,0.801
QWEN-2.5-72B-GGUF,nl,3,False,1,0.5,0.231,0.5,0.316
